date,peak_load(MW)
20170102,24483
20170103,28131
20170104,28485
20170105,28336
20170106,28002
20170107,25600
20170108,24133
20170109,27670
20170110,27787
20170111,27992
20170112,28186
20170113,27161
20170114,24726
20170115,24156
20170116,27370
20170117,27768
20170118,27768
20170119,27768
20170120,26889
20170121,24905
20170122,24230
20170123,26943
20170124,26779
20170125,25905
20170126,23012
20170127,20214
20170128,19672
20170129,19906
20170130,20118
20170131,21188
20170201,22191
20170202,24722
20170203,25592
20170204,24355
20170205,23414
20170206,26414
20170207,26899
20170208,27120
20170209,27088
20170210,27086
20170211,24557
20170212,23991
20170213,26862
20170214,27193
20170215,27232
20170216,27174
20170217,27241
20170218,26165
20170219,23850
20170220,27718
20170221,27762
20170222,28295
20170223,27527
20170224,27141
20170225,24638
20170226,23343
20170227,24078
20170228,25022
20170301,27261
20170302,27074
20170303,26914
20170304,24746
20170305,23990
20170306,27068
20170307,27568
20170308,27767
20170309,27844
20170310,27892
20170311,25149
20170312,24368
20170313,27892
20170314,27769
20170315,27774
20170316,28098
20170317,27896
20170318,25239
20170319,24394
20170320,28453
20170321,28197
20170322,28095
20170323,28035
20170324,27872
20170325,24624
20170326,23892
20170327,27222
20170328,27766
20170329,28022
20170330,27974
20170331,28040
20170401,24245
20170402,22905
20170403,22797
20170404,23637
20170405,27722
20170406,28161
20170407,28739
20170408,26288
20170409,25592
20170410,30236
20170411,29416
20170412,28004
20170413,28171
20170414,28259
20170415,26171
20170416,25504
20170417,30290
20170418,30723
20170419,31072
20170420,30725
20170421,30988
20170422,24699
20170423,24088
20170424,28349
20170425,29158
20170426,30418
20170427,28348
20170428,27165
20170429,24747
20170430,24004
20170501,25611
20170502,29684
20170503,30931
20170504,31407
20170505,31854
20170506,27573
20170507,25867
20170508,31507
20170509,31569
20170510,32633
20170511,33011
20170512,32806
20170513,27824
20170514,26614
20170515,32336
20170516,30124
20170517,30141
20170518,31320
20170519,31080
20170520,26826
20170521,26159
20170522,32130
20170523,32720
20170524,33035
20170525,31042
20170526,30290
20170527,26347
20170528,25268
20170529,26189
20170530,26643
20170531,32677
20170601,31934
20170602,31745
20170603,30408
20170604,26587
20170605,31834
20170606,33099
20170607,34135
20170608,34011
20170609,33972
20170610,30970
20170611,29156
20170612,34589
20170613,34501
20170614,31925
20170615,30196
20170616,30978
20170617,27264
20170618,26316
20170619,30908
20170620,31901
20170621,33511
20170622,34515
20170623,34567
20170624,30919
20170625,29653
20170626,35139
20170627,35123
20170628,35300
20170629,35234
20170630,34894
20170701,30856
20170702,28576
20170703,35002
20170704,34889
20170705,34916
20170706,35280
20170707,34736
20170708,30418
20170709,29124
20170710,35022
20170711,35482
20170712,35444
20170713,35749
20170714,35548
20170715,31152
20170716,29259
20170717,34337
20170718,36107
20170719,36046
20170720,35973
20170721,36146
20170722,31441
20170723,30894
20170724,36148
20170725,36213
20170726,36199
20170727,35626
20170728,35658
20170729,30003
20170730,27986
20170731,30600
20170801,33080
20170802,33476
20170803,34556
20170804,34717
20170805,31575
20170806,30675
20170807,36165
20170808,36266
20170809,36123
20170810,35788
20170811,36417
20170812,32480
20170813,30951
20170814,36052
20170815,36453
20170816,36390
20170817,36391
20170818,36295
20170819,32211
20170820,30715
20170821,36119
20170822,35285
20170823,34588
20170824,35493
20170825,35129
20170826,31487
20170827,29227
20170828,35541
20170829,36070
20170830,35447
20170831,34739
20170901,33050
20170902,29350
20170903,28063
20170904,33987
20170905,34360
20170906,35786
20170907,35014
20170908,35020
20170909,30543
20170910,29552
20170911,34904
20170912,35533
20170913,33922
20170914,32944
20170915,33981
20170916,30645
20170917,28336
20170918,33398
20170919,34280
20170920,34866
20170921,35001
20170922,35374
20170923,32106
20170924,30716
20170925,35817
20170926,36263
20170927,36419
20170928,36049
20170929,35355
20170930,34625
20171001,30280
20171002,35737
20171003,35900
20171004,29072
20171005,34702
20171006,34982
20171007,29560
20171008,28115
20171009,28876
20171010,30226
20171011,35287
20171012,34009
20171013,32265
20171014,28783
20171015,27360
20171016,33062
20171017,32730
20171018,32246
20171019,31277
20171020,30889
20171021,25858
20171022,24237
20171023,28665
20171024,29159
20171025,29244
20171026,29286
20171027,28805
20171028,25555
20171029,24209
20171030,28206
20171031,28541
20171101,29266
20171102,30135
20171103,29257
20171104,25602
20171105,24623
20171106,29620
20171107,30666
20171108,29840
20171109,30266
20171110,30592
20171111,26422
20171112,25166
20171113,29653
20171114,29969
20171115,29784
20171116,30463
20171117,30555
20171118,26189
20171119,24644
20171120,28771
20171121,29432
20171122,28955
20171123,28469
20171124,28326
20171125,25668
20171126,24769
20171127,28917
20171128,29698
20171129,29530
20171130,29186
20171201,28525
20171202,25628
20171203,24512
20171204,28274
20171205,28243
20171206,28455
20171207,28625
20171208,27863
20171209,25500
20171210,24230
20171211,27706
20171212,28558
20171213,28433
20171214,28558
20171215,28405
20171216,25515
20171217,24444
20171218,28210
20171219,28665
20171220,28082
20171221,28219
20171222,27748
20171223,25193
20171224,24260
20171225,27939
20171226,28461
20171227,28022
20171228,28229
20171229,27369
20171230,24718
20171231,23319
20180101,23638
20180102,27816
20180103,28253
20180104,28757
20180105,28260
20180106,26062
20180107,25011
20180108,28801
20180109,28910
20180110,28410
20180111,28583
20180112,28093
20180113,25694
20180114,24705
20180115,28269
20180116,28285
20180117,28340
20180118,29076
20180119,28467
20180120,25883
20180121,24695
20180122,28264
20180123,28381
20180124,28228
20180125,28352
20180126,27537
20180127,25383
20180128,24535
20180129,28397
20180130,28606
20180131,28364
20180201,28521
20180202,28202
20180203,26353
20180204,26273
20180205,29059
20180206,28510
20180207,28889
20180208,28436
20180209,28302
20180210,26015
20180211,25349
20180212,27324
20180213,26300
20180214,23482
20180215,20979
20180216,20759
20180217,20282
20180218,20987
20180219,22071
20180220,23261
20180221,26510
20180222,27283
20180223,27093
20180224,25317
20180225,24690
20180226,27435
20180227,27818
20180228,26394
20180301,28372
20180302,28143
20180303,26052
20180304,25431
20180305,29460
20180306,27989
20180307,28469
20180308,27944
20180309,27617
20180310,24946
20180311,24245
20180312,27935
20180313,28418
20180314,28536
20180315,28941
20180316,28620
20180317,25794
20180318,24808
20180319,29102
20180320,28823
20180321,27699
20180322,27982
20180323,27642
20180324,25149
20180325,24573
20180326,28383
20180327,28602
20180328,28752
20180329,28983
20180330,28897
20180331,27845
20180401,25072
20180402,29047
20180403,29267
20180404,26121
20180405,24981
20180406,24450
20180407,23940
20180408,23895
20180409,28232
20180410,28728
20180411,30193
20180412,30645
20180413,31068
20180414,27721
20180415,24630
20180416,28365
20180417,28399
20180418,28521
20180419,29442
20180420,29380
20180421,26962
20180422,26356
20180423,31487
20180424,31110
20180425,29570
20180426,29944
20180427,30356
20180428,26835
20180429,26074
20180430,30086
20180501,28665
20180502,32351
20180503,30659
20180504,30638
20180505,27477
20180506,27517
20180507,32762
20180508,31729
20180509,30104
20180510,30174
20180511,30735
20180512,27439
20180513,27088
20180514,32914
20180515,33518
20180516,34235
20180517,34692
20180518,35061
20180519,30567
20180520,29607
20180521,34269
20180522,34776
20180523,34892
20180524,34099
20180525,35023
20180526,30416
20180527,30287
20180528,36007
20180529,36329
20180530,36771
20180531,36713
20180601,33549
20180602,29031
20180603,28480
20180604,34478
20180605,35302
20180606,35802
20180607,35702
20180608,36102
20180609,31775
20180610,29798
20180611,32557
20180612,33517
20180613,34034
20180614,33737
20180615,31614
20180616,28619
20180617,27261
20180618,27948
20180619,32063
20180620,32244
20180621,33176
20180622,33748
20180623,30175
20180624,29174
20180625,35108
20180626,35259
20180627,35122
20180628,35448
20180629,34966
20180630,30484
20180701,29016
20180702,33151
20180703,34138
20180704,33744
20180705,33157
20180706,34306
20180707,30399
20180708,28916
20180709,34951
20180710,34753
20180711,31203
20180712,34408
20180713,34990
20180714,31279
20180715,29296
20180716,35178
20180717,36200
20180718,36460
20180719,36705
20180720,35740
20180721,31327
20180722,29333
20180723,34239
20180724,35976
20180725,35901
20180726,35806
20180727,35675
20180728,31376
20180729,30623
20180730,36318
20180731,36906
20180801,37351
20180802,36122
20180803,36116
20180804,31905
20180805,29660
20180806,36089
20180807,36132
20180808,36191
20180809,35872
20180810,36020
20180811,31721
20180812,30095
20180813,34739
20180814,34827
20180815,33954
20180816,34368
20180817,35182
20180818,30087
20180819,28654
20180820,34375
20180821,34675
20180822,34783
20180823,34745
20180824,30158
20180825,29174
20180826,28097
20180827,32329
20180828,31922
20180829,32109
20180830,31886
20180831,32264
20180901,28928
20180902,28176
20180903,33843
20180904,35163
20180905,35238
20180906,34890
20180907,34524
20180908,29661
20180909,26810
20180910,31645
20180911,33276
20180912,34117
20180913,34521
20180914,34631
20180915,29281
20180916,28947
20180917,35098
20180918,35327
20180919,34991
20180920,35019
20180921,34892
20180922,30272
20180923,27876
20180924,27223
20180925,32749
20180926,31949
20180927,31946
20180928,31510
20180929,26812
20180930,25505
20181001,30707
20181002,30992
20181003,30579
20181004,29852
20181005,30375
20181006,27097
20181007,25871
20181008,30873
20181009,31288
20181010,27562
20181011,29875
20181012,29172
20181013,26162
20181014,25687
20181015,30538
20181016,31462
20181017,30079
20181018,30097
20181019,29952
20181020,26206
20181021,25377
20181022,30240
20181023,30450
20181024,30549
20181025,31029
20181026,31014
20181027,25586
20181028,24289
20181029,28439
20181030,29073
20181031,29060
20181101,28605
20181102,28905
20181103,26486
20181104,25391
20181105,29866
20181106,30772
20181107,30941
20181108,31419
20181109,30295
20181110,26927
20181111,25556
20181112,29963
20181113,29512
20181114,29437
20181115,29920
20181116,29969
20181117,26630
20181118,25682
20181119,29184
20181120,29730
20181121,30019
20181122,28817
20181123,28416
20181124,24811
20181125,24821
20181126,28884
20181127,29017
20181128,28956
20181129,28691
20181130,28562
2018/12/1,25636
2018/12/2,24981
2018/12/3,28963
2018/12/4,29868
2018/12/5,29406
2018/12/6,30019
2018/12/7,28355
2018/12/8,25188
2018/12/9,24038
2018/12/10,28631
2018/12/11,28683
2018/12/12,28236
2018/12/13,28180
2018/12/14,28184
2018/12/15,25401
2018/12/16,24544
2018/12/17,27835
2018/12/18,28111
2018/12/19,28371
