日期,尖峰負載(MW)
2019/1/1,23872
2019/1/2,28148
2019/1/3,28452
2019/1/4,28490
2019/1/5,26054
2019/1/6,24617
2019/1/7,28536
2019/1/8,28719
2019/1/9,28641
2019/1/10,29006
2019/1/11,28798
2019/1/12,25905
2019/1/13,24629
2019/1/14,28348
2019/1/15,28887
2019/1/16,28649
2019/1/17,28395
2019/1/18,27756
2019/1/19,26477
2019/1/20,24539
2019/1/21,27739
2019/1/22,28140
2019/1/23,27838
2019/1/24,27863
2019/1/25,27296
2019/1/26,25282
2019/1/27,24414
2019/1/28,27557
2019/1/29,27858
2019/1/30,27760
2019/1/31,27181
2019/2/1,24709
2019/2/2,23382
2019/2/3,22915
2019/2/4,20214
2019/2/5,19992
2019/2/6,19936
2019/2/7,20938
2019/2/8,21581
2019/2/9,22436
2019/2/10,23236
2019/2/11,26667
2019/2/12,27768
2019/2/13,27699
2019/2/14,28250
2019/2/15,28262
2019/2/16,25432
2019/2/17,24343
2019/2/18,28645
2019/2/19,28876
2019/2/20,29078
2019/2/21,28912
2019/2/22,28420
2019/2/23,26723
2019/2/24,24694
2019/2/25,28084
2019/2/26,28390
2019/2/27,28013
2019/2/28,25472
2019/3/1,24689
2019/3/2,24734
2019/3/3,24102
2019/3/4,27688
2019/3/5,28241
2019/3/6,28032
2019/3/7,28147
2019/3/8,27951
2019/3/9,25870
2019/3/10,24801
2019/3/11,27730
2019/3/12,27936
2019/3/13,28145
2019/3/14,28147
2019/3/15,27757
2019/3/16,25318
2019/3/17,24681
2019/3/18,28338
2019/3/19,28882
2019/3/20,29645
2019/3/21,30343
2019/3/22,29618
2019/3/23,25265
2019/3/24,24812
2019/3/25,28535
2019/3/26,28756
2019/3/27,29140
2019/3/28,30093
2019/3/29,29673
2019/3/30,25810
2019/3/31,24466
2019/4/1,27311
